,Mkt-RF,SMB,HML,RMW,CMA,RF
1984-05-31,-0.059800000000000006,0.0014000000000000002,0.0026,0.0241,-0.0051,0.0078000000000000005
1984-06-30,0.0181,0.0016,-0.0275,0.0308,-0.015700000000000002,0.0075
1984-07-31,-0.027200000000000002,-0.022099999999999998,0.0039000000000000003,0.0352,-0.0216,0.008199999999999999
1984-08-31,0.1027,-0.0028000000000000004,-0.0174,-0.0073,-0.0091,0.0083
1984-09-30,-0.008,-0.0004,0.0525,0.0137,0.0239,0.0086
1984-10-31,-0.0084,-0.0134,0.0059,0.011399999999999999,-0.0104,0.01
1984-11-30,-0.0177,-0.0106,0.0387,0.008,0.0195,0.0073
1984-12-31,0.0184,-0.0074,-0.0029,0.0128,-0.0128,0.0064
1985-01-31,0.0797,0.0345,-0.0521,-0.009899999999999999,-0.0346,0.006500000000000001
1985-02-28,0.012199999999999999,0.0097,-0.0024,0.014199999999999999,0.011000000000000001,0.0058
1985-03-31,-0.0084,-0.0138,0.0401,0.0123,0.0286,0.0062
1985-04-30,-0.0096,-0.0014000000000000002,0.036000000000000004,0.016200000000000003,0.0070999999999999995,0.0072
1985-05-31,0.0507,-0.0236,-0.0098,0.0127,-0.0143,0.0066
1985-06-30,0.0127,0.0021,0.0038,0.0169,-0.0102,0.0055000000000000005
1985-07-31,-0.0072,0.0285,-0.016200000000000003,-0.0036,-0.0037,0.0062
1985-08-31,-0.0101,-0.003,0.023399999999999997,-0.0016,0.019299999999999998,0.0055000000000000005
1985-09-30,-0.045,-0.0184,0.0121,0.0111,0.0158,0.006
1985-10-31,0.04,-0.0147,0.0077,0.0088,-0.0106,0.006500000000000001
1985-11-30,0.0646,-0.0005,-0.0291,0.0032,-0.0235,0.0060999999999999995
1985-12-31,0.0388,-0.0040999999999999995,-0.0146,0.0096,-0.0177,0.006500000000000001
1986-01-31,0.006500000000000001,0.0095,0.0046,-0.0199,-0.0199,0.005600000000000001
1986-02-28,0.07139999999999999,-0.0072,-0.0063,0.0116,-0.0123,0.0053
1986-03-31,0.049100000000000005,-0.0063,-0.0039000000000000003,0.01,0.008100000000000001,0.006
1986-04-30,-0.0128,0.0281,-0.0281,0.028999999999999998,-0.001,0.0052
1986-05-31,0.0463,-0.0129,-0.0014000000000000002,0.0207,0.011000000000000001,0.0049
1986-06-30,0.0106,-0.0087,0.012,0.018500000000000003,0.0083,0.0052
1986-07-31,-0.0643,-0.0353,0.0466,-0.0055000000000000005,0.008100000000000001,0.0052
1986-08-31,0.060700000000000004,-0.0434,0.0354,-0.0171,0.0332,0.0046
1986-09-30,-0.0859,0.021,0.0323,-0.0017000000000000001,0.0371,0.0045000000000000005
1986-10-31,0.0464,-0.023700000000000002,-0.014199999999999999,-0.0001,0.0101,0.0046
1986-11-30,0.0116,-0.018600000000000002,-0.0002,0.0098,0.006999999999999999,0.0039000000000000003
1986-12-31,-0.0326,0.0019,0.0036,0.0087,0.0009,0.0049
1987-01-31,0.1244,-0.0161,-0.0318,0.0017000000000000001,-0.0103,0.0042
1987-02-28,0.0437,0.0336,-0.058600000000000006,-0.0079,-0.0255,0.0043
1987-03-31,0.0163,0.0032,0.0166,0.013000000000000001,0.0417,0.004699999999999999
1987-04-30,-0.0209,-0.0158,-0.0036,-0.0052,0.0116,0.0044
1987-05-31,0.0011,-0.0058,0.0022,0.0049,0.0113,0.0038
1987-06-30,0.0391,-0.021099999999999997,0.0113,0.015600000000000001,0.010700000000000001,0.0048
1987-07-31,0.0384,-0.010700000000000001,0.009399999999999999,-0.006500000000000001,0.0158,0.0046
1987-08-31,0.0352,-0.0101,-0.0098,0.021099999999999997,-0.0155,0.004699999999999999
1987-09-30,-0.0258,0.0045000000000000005,0.0026,-0.0088,0.0182,0.0045000000000000005
1987-10-31,-0.23190000000000002,-0.0791,0.0418,0.0229,0.022400000000000003,0.006
1987-11-30,-0.0776,0.0278,0.031400000000000004,-0.019299999999999998,0.006,0.0034999999999999996
1987-12-31,0.0682,-0.0001,-0.044199999999999996,0.0313,-0.0246,0.0039000000000000003
1988-01-31,0.0421,-0.005600000000000001,0.0493,-0.011899999999999999,0.021,0.0029
1988-02-29,0.04769999999999999,0.033,-0.015300000000000001,0.0151,0.0006,0.0046
1988-03-31,-0.0226,0.0611,0.0086,-0.0023,0.0178,0.0044
1988-04-30,0.005600000000000001,0.0109,0.0151,-0.0009,0.019,0.0046
1988-05-31,-0.0027,-0.0252,0.024399999999999998,-0.0077,0.003,0.0051
1988-06-30,0.0478,0.0207,-0.013500000000000002,0.0152,-0.0352,0.0049
1988-07-31,-0.0125,-0.0018,0.0218,-0.0049,0.015300000000000001,0.0051
1988-08-31,-0.0331,-0.0002,0.021400000000000002,-0.0085,0.0165,0.0059
1988-09-30,0.0331,-0.0138,-0.0075,0.0176,-0.0055000000000000005,0.0062
1988-10-31,0.0116,-0.0297,0.0203,0.0139,0.009899999999999999,0.0060999999999999995
1988-11-30,-0.0227,-0.0158,0.0147,-0.0036,0.016399999999999998,0.005699999999999999
1988-12-31,0.0148,0.0194,-0.0183,0.0069,-0.0038,0.0063
1989-01-31,0.060599999999999994,-0.0226,0.0060999999999999995,-0.0097,0.0011,0.0055000000000000005
1989-02-28,-0.0223,0.027000000000000003,0.009899999999999999,-0.0084,0.018799999999999997,0.0060999999999999995
1989-03-31,0.015700000000000002,0.0068000000000000005,0.004699999999999999,-0.0001,0.006500000000000001,0.0067
1989-04-30,0.0435,-0.0075,-0.0148,0.0073,-0.0048,0.0067
1989-05-31,0.032799999999999996,-0.0006,-0.009000000000000001,0.0045000000000000005,-0.0026,0.0079
1989-06-30,-0.013300000000000001,-0.0104,0.022099999999999998,0.0013,0.0152,0.0070999999999999995
1989-07-31,0.0718,-0.041100000000000005,-0.027999999999999997,0.020499999999999997,-0.005600000000000001,0.006999999999999999
1989-08-31,0.0143,0.0048,0.0062,0.0036,-0.0060999999999999995,0.0074
1989-09-30,-0.0076,0.004699999999999999,-0.0127,0.0139,0.0058,0.006500000000000001
1989-10-31,-0.0365,-0.033,-0.0116,0.0008,-0.0011,0.0068000000000000005
1989-11-30,0.0104,-0.0126,-0.0113,-0.0074,0.0138,0.0069
1989-12-31,0.0118,-0.022799999999999997,0.0015,-0.0007000000000000001,0.0131,0.0060999999999999995
1990-01-31,-0.078,-0.0121,0.0083,-0.011200000000000002,0.013999999999999999,0.005699999999999999
1990-02-28,0.0111,0.0115,0.006500000000000001,-0.0004,-0.0060999999999999995,0.005699999999999999
1990-03-31,0.0183,0.0159,-0.028999999999999998,0.0199,-0.009399999999999999,0.0064
1990-04-30,-0.0336,-0.0034999999999999996,-0.025699999999999997,0.0178,-0.01,0.0069
1990-05-31,0.08439999999999999,-0.0241,-0.038900000000000004,0.0168,-0.0163,0.0068000000000000005
1990-06-30,-0.0109,0.0131,-0.02,-0.009899999999999999,-0.0039000000000000003,0.0063
1990-07-31,-0.019,-0.0315,-0.0006,-0.001,0.0321,0.0068000000000000005
1990-08-31,-0.1013,-0.0379,0.015600000000000001,-0.0048,0.029900000000000003,0.0066
1990-09-30,-0.0611,-0.037200000000000004,0.0059,0.0003,0.0362,0.006
1990-10-31,-0.0191,-0.0506,0.0008,0.0317,-0.0025,0.0068000000000000005
1990-11-30,0.0635,0.0002,-0.0297,0.0058,-0.0471,0.005699999999999999
1990-12-31,0.0248,0.006,-0.015700000000000002,0.026600000000000002,-0.019799999999999998,0.006
1991-01-31,0.046900000000000004,0.0387,-0.0148,0.0134,-0.0407,0.0052
1991-02-28,0.0721,0.04019999999999999,-0.0062,-0.0006,-0.0034000000000000002,0.0048
1991-03-31,0.026699999999999998,0.0381,-0.013000000000000001,-0.0052,-0.009899999999999999,0.0044
1991-04-30,-0.0029,0.0034999999999999996,0.0149,0.0067,0.008100000000000001,0.0053
1991-05-31,0.0366,0.0014000000000000002,-0.0052,0.0207,-0.0236,0.004699999999999999
1991-06-30,-0.049400000000000006,0.003,0.0108,0.0175,0.0068000000000000005,0.0042
1991-07-31,0.0424,-0.01,-0.013000000000000001,0.016,-0.0144,0.0049
1991-08-31,0.0232,0.014199999999999999,-0.0079,0.0085,-0.0032,0.0046
1991-09-30,-0.0159,0.0158,-0.0123,-0.0177,-0.0004,0.0046
1991-10-31,0.0129,0.0085,-0.0043,-0.0165,-0.003,0.0042
1991-11-30,-0.042,-0.0088,-0.0177,0.011000000000000001,-0.0012,0.0039000000000000003
1991-12-31,0.10859999999999999,-0.0241,-0.042300000000000004,0.036699999999999997,-0.031400000000000004,0.0038
1992-01-31,-0.0059,0.0919,0.0467,-0.011699999999999999,0.0325,0.0034000000000000002
1992-02-29,0.0109,0.013000000000000001,0.06509999999999999,0.0007000000000000001,0.0225,0.0028000000000000004
1992-03-31,-0.026600000000000002,-0.0089,0.0349,-0.0006,0.0182,0.0034000000000000002
1992-04-30,0.0109,-0.0575,0.0436,0.0165,0.024,0.0032
1992-05-31,0.003,0.002,0.0111,-0.0091,0.0049,0.0028000000000000004
1992-06-30,-0.0233,-0.0276,0.032400000000000005,-0.0006,0.0095,0.0032
1992-07-31,0.0378,-0.006500000000000001,-0.0051,0.0124,-0.0097,0.0031
1992-08-31,-0.023799999999999998,-0.0039000000000000003,-0.0109,0.0366,-0.016399999999999998,0.0026
1992-09-30,0.011899999999999999,0.004699999999999999,-0.0019,0.0161,-0.0068000000000000005,0.0026
1992-10-31,0.0102,0.0209,-0.019799999999999998,0.011899999999999999,-0.0091,0.0023
1992-11-30,0.0414,0.0388,-0.0152,-0.0054,-0.0158,0.0023
1992-12-31,0.015300000000000001,0.0165,0.0264,-0.0052,0.0083,0.0028000000000000004
1993-01-31,0.009300000000000001,0.0194,0.059000000000000004,-0.019,0.0294,0.0023
1993-02-28,0.0012,-0.0337,0.06480000000000001,-0.004699999999999999,0.0415,0.0022
1993-03-31,0.0232,0.0009,0.0126,-0.0022,0.008199999999999999,0.0025
1993-04-30,-0.0305,-0.008100000000000001,0.0255,-0.0369,0.0138,0.0024
1993-05-31,0.028900000000000002,0.0194,-0.0346,-0.0014000000000000002,-0.0103,0.0022
1993-06-30,0.003,0.0012,0.0264,-0.0091,0.0116,0.0025
1993-07-31,-0.0034000000000000002,0.0096,0.0287,-0.0184,0.020499999999999997,0.0024
1993-08-31,0.037200000000000004,0.0008,0.0018,-0.0152,0.0004,0.0025
1993-09-30,-0.0012,0.0302,-0.0024,0.0025,-0.0019,0.0026
1993-10-31,0.0141,0.018600000000000002,-0.0278,0.0060999999999999995,0.005600000000000001,0.0022
1993-11-30,-0.018600000000000002,-0.0131,-0.0078000000000000005,0.0219,-0.0103,0.0025
1993-12-31,0.0165,0.013500000000000002,0.0025,0.011399999999999999,-0.0034999999999999996,0.0023
1994-01-31,0.0287,-0.0005,0.011000000000000001,-0.0154,0.0139,0.0025
1994-02-28,-0.0255,0.0262,-0.0152,0.0208,-0.009399999999999999,0.0021
1994-03-31,-0.0479,-0.0103,0.0167,0.006500000000000001,0.0139,0.0027
1994-04-30,0.0068000000000000005,-0.01,0.0166,0.0105,0.011399999999999999,0.0027
1994-05-31,0.0058,-0.024900000000000002,0.006,0.0064,0.006,0.0032
1994-06-30,-0.0304,-0.0052,0.0177,0.0105,0.015,0.0031
1994-07-31,0.0282,-0.0187,0.0060999999999999995,-0.0066,0.001,0.0028000000000000004
1994-08-31,0.04019999999999999,0.0144,-0.0255,0.0098,-0.0152,0.0037
1994-09-30,-0.022799999999999997,0.0271,-0.0181,0.005600000000000001,0.0106,0.0037
1994-10-31,0.013500000000000002,-0.0222,-0.0166,0.0018,-0.0073,0.0038
1994-11-30,-0.0403,0.0009,-0.0073,0.0048,-0.0053,0.0037
1994-12-31,0.0086,-0.0005,-0.0009,0.004,0.0036,0.0044
1995-01-31,0.018000000000000002,-0.030699999999999998,0.0259,0.0015,-0.006500000000000001,0.0042
1995-02-28,0.0363,-0.0049,0.009899999999999999,0.0060999999999999995,-0.004,0.004
1995-03-31,0.0219,-0.0053,-0.0213,-0.0013,0.0023,0.0046
1995-04-30,0.021099999999999997,-0.0026,0.0167,0.0043,0.008199999999999999,0.0044
1995-05-31,0.028999999999999998,-0.0217,0.022799999999999997,0.0040999999999999995,0.0001,0.0054
1995-06-30,0.027200000000000002,0.0305,-0.0254,-0.0023,-0.0239,0.004699999999999999
1995-07-31,0.0371,0.0212,-0.0158,0.0022,-0.0158,0.0045000000000000005
1995-08-31,0.0055000000000000005,0.017,0.0268,-0.011699999999999999,0.0149,0.004699999999999999
1995-09-30,0.0336,-0.018600000000000002,-0.0011,0.009899999999999999,0.004,0.0043
1995-10-31,-0.0151,-0.0407,-0.0049,0.019299999999999998,-0.001,0.004699999999999999
1995-11-30,0.039599999999999996,-0.0106,0.0052,-0.005699999999999999,0.01,0.0042
1995-12-31,0.0104,0.006500000000000001,0.0024,-0.0144,0.0302,0.0049
1996-01-31,0.0226,-0.0264,0.0046,0.0026,0.023,0.0043
1996-02-29,0.013300000000000001,0.0177,-0.0105,0.0016,-0.0189,0.0039000000000000003
1996-03-31,0.0074,0.015600000000000001,0.0042,0.0144,-0.0095,0.0039000000000000003
1996-04-30,0.020499999999999997,0.047,-0.0397,-0.002,-0.0203,0.0046
1996-05-31,0.0236,0.0323,-0.009000000000000001,0.0003,-0.0033,0.0042
1996-06-30,-0.0113,-0.036699999999999997,0.0233,0.035,0.012,0.004
1996-07-31,-0.0596,-0.0378,0.0519,0.028999999999999998,0.0268,0.0045000000000000005
1996-08-31,0.0277,0.0258,-0.008199999999999999,-0.0038,-0.024700000000000003,0.0040999999999999995
1996-09-30,0.0501,-0.0141,-0.0274,0.013000000000000001,-0.0213,0.0044
1996-10-31,0.0087,-0.0379,0.048799999999999996,0.0138,0.0297,0.0042
1996-11-30,0.0625,-0.0382,0.013999999999999999,0.0206,-0.0069,0.0040999999999999995
1996-12-31,-0.017,0.0319,0.0128,0.0023,0.0149,0.0046
1997-01-31,0.049699999999999994,-0.0182,-0.0144,0.012199999999999999,-0.0007000000000000001,0.0045000000000000005
1997-02-28,-0.0048,-0.0254,0.056100000000000004,0.0072,0.0347,0.0039000000000000003
1997-03-31,-0.050199999999999995,-0.0040999999999999995,0.0339,0.0039000000000000003,0.015300000000000001,0.0043
1997-04-30,0.0404,-0.057,0.0,0.0336,-0.0102,0.0043
1997-05-31,0.0673,0.046799999999999994,-0.041100000000000005,-0.0104,-0.0276,0.0049
1997-06-30,0.040999999999999995,0.011699999999999999,0.0144,0.005600000000000001,0.0045000000000000005,0.0037
1997-07-31,0.0731,-0.0274,0.0013,0.0018,-0.0256,0.0043
1997-08-31,-0.0409,0.075,0.0113,-0.0102,-0.0017000000000000001,0.0040999999999999995
1997-09-30,0.053399999999999996,0.0248,0.0024,-0.0158,-0.009300000000000001,0.0044
1997-10-31,-0.0381,-0.005600000000000001,0.0233,0.0075,0.020099999999999996,0.0042
1997-11-30,0.029900000000000003,-0.0501,0.012199999999999999,0.0308,0.0173,0.0039000000000000003
1997-12-31,0.013600000000000001,-0.0209,0.0374,0.0064,0.0195,0.0048
1998-01-31,0.0014000000000000002,-0.0128,-0.0168,0.0091,-0.0062,0.0043
1998-02-28,0.0704,0.0005,-0.009300000000000001,-0.0037,-0.0258,0.0039000000000000003
1998-03-31,0.047599999999999996,-0.0073,0.0138,-0.0055000000000000005,-0.0023,0.0039000000000000003
1998-04-30,0.0074,0.0001,0.0103,-0.0168,-0.0036,0.0043
1998-05-31,-0.0305,-0.03,0.0341,0.0103,0.024700000000000003,0.004
1998-06-30,0.0321,-0.0361,-0.0203,-0.0026,-0.030299999999999997,0.0040999999999999995
1998-07-31,-0.0242,-0.052000000000000005,-0.0183,0.016399999999999998,0.0076,0.004
1998-08-31,-0.1605,-0.049699999999999994,0.035699999999999996,0.0335,0.057800000000000004,0.0043
1998-09-30,0.061900000000000004,-0.0089,-0.0351,-0.0184,-0.028399999999999998,0.0046
1998-10-31,0.0698,-0.0336,-0.0233,0.0088,0.0018,0.0032
1998-11-30,0.060700000000000004,0.0076,-0.032400000000000005,-0.0092,-0.0092,0.0031
1998-12-31,0.061500000000000006,-0.015,-0.0425,-0.0069,-0.0326,0.0038
1999-01-31,0.0347,-0.008199999999999999,-0.0446,-0.027999999999999997,-0.0641,0.0034999999999999996
1999-02-28,-0.0408,-0.051500000000000004,0.0195,-0.0123,0.0408,0.0034999999999999996
1999-03-31,0.0348,-0.0437,-0.026099999999999998,-0.0405,-0.010700000000000001,0.0043
1999-04-30,0.0434,0.0452,0.024,-0.024700000000000003,0.0084,0.0037
1999-05-31,-0.0246,0.0375,0.024900000000000002,0.0095,0.0318,0.0034000000000000002
1999-06-30,0.04769999999999999,0.023399999999999997,-0.0322,0.009300000000000001,-0.0291,0.004
1999-07-31,-0.0349,0.0254,-0.0018,0.0029,0.0327,0.0038
1999-08-31,-0.0137,-0.0167,-0.019299999999999998,-0.0024,0.0072,0.0039000000000000003
1999-09-30,-0.0277,0.0248,-0.028999999999999998,-0.0096,-0.009899999999999999,0.0039000000000000003
1999-10-31,0.060899999999999996,-0.0713,-0.0288,-0.0175,-0.0087,0.0039000000000000003
1999-11-30,0.0341,0.056900000000000006,-0.0565,-0.0418,-0.0184,0.0036
1999-12-31,0.0766,0.051,-0.0766,-0.08,-0.0587,0.0044
2000-01-31,-0.047400000000000005,0.0421,-0.011200000000000002,-0.061500000000000006,0.045599999999999995,0.0040999999999999995
2000-02-29,0.0245,0.18460000000000001,-0.0977,-0.1895,-0.0113,0.0043
2000-03-31,0.0521,-0.15539999999999998,0.085,0.1165,-0.012,0.004699999999999999
2000-04-30,-0.0635,-0.0475,0.0645,0.08070000000000001,0.056299999999999996,0.0046
2000-05-31,-0.043899999999999995,-0.038599999999999995,0.045899999999999996,0.0405,0.0147,0.005
2000-06-30,0.046799999999999994,0.09949999999999999,-0.08039999999999999,-0.08310000000000001,-0.0317,0.004
2000-07-31,-0.0248,-0.009399999999999999,0.0806,0.0572,0.0298,0.0048
2000-08-31,0.0703,-0.0095,-0.0137,-0.030600000000000002,0.0121,0.005
2000-09-30,-0.054400000000000004,0.0027,0.0724,0.027000000000000003,0.0554,0.0051
2000-10-31,-0.0278,-0.0258,0.0558,0.09539999999999998,0.0371,0.005600000000000001
2000-11-30,-0.107,-0.0034999999999999996,0.12240000000000001,0.1305,0.08349999999999999,0.0051
2000-12-31,0.0118,0.0326,0.0755,0.0192,0.0482,0.005
2001-01-31,0.0325,0.052300000000000006,-0.050499999999999996,-0.052000000000000005,-0.0521,0.0054
2001-02-28,-0.1003,0.0287,0.1223,0.09119999999999999,0.0901,0.0038
2001-03-31,-0.0725,0.0233,0.0647,0.0334,0.037200000000000004,0.0042
2001-04-30,0.0794,-0.0088,-0.0464,-0.0318,-0.0319,0.0039000000000000003
2001-05-31,0.0068000000000000005,0.0355,0.0338,0.0029,0.0195,0.0032
2001-06-30,-0.0194,0.0669,-0.0126,0.015700000000000002,-0.0167,0.0028000000000000004
2001-07-31,-0.0213,-0.0286,0.0495,0.0729,0.028999999999999998,0.003
2001-08-31,-0.064,0.0254,0.0286,0.0381,0.0653,0.0031
2001-09-30,-0.0924,-0.0574,0.0152,0.050300000000000004,0.0335,0.0028000000000000004
2001-10-31,0.0248,0.053399999999999996,-0.0731,-0.0298,-0.0436,0.0022
2001-11-30,0.0753,-0.0036,0.0217,-0.0349,-0.0168,0.0017000000000000001
2001-12-31,0.0161,0.051100000000000007,0.0083,0.0026,-0.0028000000000000004,0.0015
2002-01-31,-0.0144,0.0128,0.0342,0.0473,0.028300000000000002,0.0014000000000000002
2002-02-28,-0.022799999999999997,-0.0038,0.023399999999999997,0.0803,0.051,0.0013
2002-03-31,0.0424,0.0415,0.0108,-0.0183,0.0066,0.0013
2002-04-30,-0.0521,0.0663,0.0401,0.045899999999999996,0.0535,0.0015
2002-05-31,-0.013600000000000001,-0.030699999999999998,0.0152,0.0231,0.0253,0.0014000000000000002
2002-06-30,-0.0723,0.037599999999999995,0.0037,0.0392,0.026600000000000002,0.0013
2002-07-31,-0.0819,-0.0633,-0.0351,0.0384,-0.011000000000000001,0.0015
2002-08-31,0.005,-0.0128,0.0301,0.0137,-0.013999999999999999,0.0014000000000000002
2002-09-30,-0.10339999999999999,0.0305,0.0126,0.0329,-0.0229,0.0014000000000000002
2002-10-31,0.0784,-0.0429,-0.037599999999999995,-0.0316,0.0073,0.0014000000000000002
2002-11-30,0.0596,0.0294,-0.0116,-0.0925,0.0516,0.0012
2002-12-31,-0.0576,0.0055000000000000005,0.021099999999999997,0.0632,-0.0179,0.0011
2003-01-31,-0.025699999999999997,0.0070999999999999995,-0.0079,-0.009300000000000001,0.0069,0.001
2003-02-28,-0.018799999999999997,-0.0087,-0.013600000000000001,0.0079,-0.0068000000000000005,0.0009
2003-03-31,0.0109,0.0077,-0.021099999999999997,0.0168,-0.008100000000000001,0.001
2003-04-30,0.0818,0.011399999999999999,0.012199999999999999,-0.046799999999999994,0.0098,0.001
2003-05-31,0.0605,0.0478,0.006999999999999999,-0.0694,0.030699999999999998,0.0009
2003-06-30,0.014199999999999999,0.0165,0.0014000000000000002,0.0044,-0.004,0.001
2003-07-31,0.0233,0.044000000000000004,-0.015300000000000001,-0.038900000000000004,0.0152,0.0007000000000000001
2003-08-31,0.0233,0.023700000000000002,0.016399999999999998,-0.0229,0.0215,0.0007000000000000001
2003-09-30,-0.0124,0.005699999999999999,0.0014000000000000002,0.009000000000000001,0.0040999999999999995,0.0008
2003-10-31,0.0608,0.0263,0.022099999999999998,-0.0138,0.0165,0.0007000000000000001
2003-11-30,0.013500000000000002,0.0231,0.0172,0.0021,0.0168,0.0007000000000000001
2003-12-31,0.0429,-0.025099999999999997,0.0151,0.005699999999999999,0.0085,0.0008
2004-01-31,0.0215,0.0246,0.0242,-0.036000000000000004,0.0333,0.0007000000000000001
2004-02-29,0.013999999999999999,-0.0092,0.0095,0.0213,-0.011699999999999999,0.0006
2004-03-31,-0.0132,0.021099999999999997,0.0023,0.0165,-0.0098,0.0009
2004-04-30,-0.0182,-0.0206,-0.0323,0.0346,-0.028300000000000002,0.0008
2004-05-31,0.0118,-0.004,-0.0018,-0.011699999999999999,0.0001,0.0006
